features,SVM,GBRT,LR,CMI,XGBoost
1,0.46845796,8.01E-02,4.53E-01,0.033953283,5.69E-02
2,0.42769477,3.91E-01,4.52E-01,0.025081504,2.83E-02
3,0.51096074,1.74E-01,6.88E-01,0.035145334,6.78E-03
4,0.45498791,1.72E-01,6.39E-01,0.032471049,1.43E-02
5,0.3264445,2.67E-01,4.06E-01,0.013725061,1.45E-02
6,0.10744053,7.61E-02,2.95E-02,0.023055351,5.53E-03
7,0.71098673,5.32E-02,4.27E-01,0.037555347,8.83E-03
8,0.95102749,7.00E-01,1.14E+00,0.045540263,3.20E-02
9,0.34060329,1.16E-01,3.67E-01,0.013969745,1.08E-02
10,0.33694041,2.44E-02,2.39E-01,0.010938215,1.42E-02
11,0.16337107,4.29E-04,3.89E-01,0.011164749,2.86E-03
12,0.10383828,2.19E-02,1.10E-02,0.010766668,1.29E-02
13,0.12156469,7.70E-02,2.89E-01,0.008762125,7.29E-03
14,0.08930537,0.00E+00,5.34E-03,0.003897768,4.29E-05
15,0.05189396,3.30E-02,3.02E-02,0.006191974,4.64E-03
16,0.11382734,2.78E-02,7.35E-02,0.008556925,2.19E-03
17,0.10208816,2.30E-02,5.88E-02,0.001852424,7.88E-04
18,0.14223487,7.96E-02,3.91E-02,0.016220464,1.24E-02
19,0.1044614,4.45E-02,6.07E-02,0.00827571,1.14E-02
20,0.10260724,2.71E-03,3.54E-02,0.002677371,6.14E-04
21,1.36849947,6.64E-01,1.61E+00,0.043401987,1.18E-02
22,0.91675055,4.29E-01,9.33E-01,0.027058419,3.16E-02
23,0.677657,6.55E-01,1.27E+00,0.039973593,1.67E-02
24,0.80167353,6.56E-01,9.64E-01,0.036263667,6.21E-02
25,0.27023632,1.39E-01,1.84E-01,0.02066586,1.57E-02
26,0.22191124,3.07E-01,5.34E-01,0.021050678,1.67E-02
27,0.83253027,5.96E-01,1.26E+00,0.03678658,3.18E-02
28,1.35448748,1.21E+00,1.46E+00,0.048880981,2.46E-01
29,0.40403427,1.23E-01,4.29E-01,0.017749742,6.86E-03
30,0.07597724,7.06E-02,0.04323477,0.010240923,0.005647923
