features,SVM,GBRT,LR,CMI,XGBoost
1,0.94145406,0.94152265,8.10E-01,0.06961991,6.70E-02
2,0.3566386,0.26145942,3.64E-01,0.035009874,2.81E-02
3,0.16435855,0.33229271,1.54E-03,0.043785066,2.97E-02
4,0.06195541,0,2.03E-01,0.005016413,8.55E-04
5,0.01323367,0.2655958,4.20E-01,0.015841697,2.28E-02
6,0.05206183,0,2.31E-01,0.003807816,7.53E-06
7,0.01843422,0,5.77E-02,0.005409148,9.78E-05
8,0.05379671,0.01130897,2.33E-01,0.003752685,0.00E+00
9,0.123808,0.23184897,5.86E-01,0.012535221,1.10E-02
10,0.02677751,0,1.17E-01,0.009675035,3.17E-04
11,0.15932989,0.04583544,5.85E-01,0.014416251,2.44E-03
12,0.04713511,0,5.81E-03,0.007936066,3.46E-05
13,0.01204863,0.00725124,9.74E-02,0.006268426,1.97E-05
14,0.16087717,0.01936237,5.85E-01,0.014273064,0.00E+00
15,0.04196747,0.0049919,1.63E-01,0.003915497,6.95E-06
16,0.09694027,0.03390218,2.12E-01,0.023592163,7.25E-03
17,0.54176906,0.32884901,1.12E+00,0.047005745,4.82E-02
18,0.13376053,0.73064024,1.51E-01,0.050180146,5.92E-02
19,0.52358592,0.32122269,6.44E-01,0.042142101,8.77E-03
20,0.7506729,0.85038656,1.13E+00,0.050863106,3.80E-02
21,0.3412247,0.65378865,4.99E-01,0.040916802,3.88E-02
22,0.76407894,1.19864872,1.62E+00,0.049220313,1.85E-01
