features,SVM,GBRT,LR,CMI,XGBoost
1,0.119329226,0.179264129,0.066001582,0.015305315,0.019944342
2,0.036338008,0.096361136,0.142439022,0.013911384,0.008998496
3,0.147576277,0.473861877,0.64956604,0.015968079,0.031028887
4,0.137118145,0.138749657,0.320677894,0.015156479,0.013386417
5,0.093136921,0.072268863,0.08780709,0.014390427,0.011566898
6,0.088242578,0.244179776,0.445939038,0.013753137,0.024977317
7,0.215770696,0.252668036,0.207976535,0.013615352,0.026644787
8,0.425373733,0.610290428,0.774930758,0.034890394,0.05363054
9,0.083808601,0.122009297,0.06802621,0.015633086,0.027243733
10,0.474378636,0.471109226,0.810749148,0.021841364,0.057873543
11,0.049805695,0.07219913,0.055826741,0.012682029,0.011385933
12,0.066330362,0.162616791,0.224354385,0.01171217,0.021745723
13,0.466421238,0.715938148,1.186706909,0.033883732,0.10272999
14,0.057514018,0.126069556,0.00990743,0.014663743,0.015590963
15,0.021929074,0.040285531,0.017771458,0.009850689,0.010155128
16,0.279977875,0.511975898,0.514259657,0.029174225,0.054907814
17,0.215942132,0.602016283,0.457349041,0.015301427,0.033229005
18,0.032467082,0.174178688,0.22981819,0.008069047,0.004891366
19,0.10372154,0.119534537,0.092703671,0.014956659,0.012731741
20,0.209578169,0.680821594,0.520019993,0.021826716,0.034713782
21,0.083232815,0.000620918,0.355158303,0.019994673,0.013117482
22,0.675521718,0.598985195,0.99153953,0.0384184,0.06783973
