features,SVM,GBRT,LR,CMI,XGBoost,NN
1,1.19690148,2.89801197,1.59165933,971.5132997,0.03255461,1.46124054
2,0.70320943,0.08620087,0.5731096,623.5542921,0.01592908,1.42126486
3,0.24871385,1.33407235,0.67124746,373.116145,0.01109341,1.21711745
4,0.5526784,0.30252472,0.76881492,565.156222,0.00422039,1.55565306
5,0.25523376,2.01226571,0.1580776,644.1527785,0.02711736,0.99947194
6,0.56728664,0.19910008,0.51956174,812.5133921,0.0164061,1.40066951
7,1.46666266,6.83956179,2.3582626,1325.905963,0.15138508,1.80420601
8,0.51989699,0.12881627,0.19701722,604.0426704,0.00426931,1.52060316
9,0.44068602,0.13244921,0.51535957,578.8849334,0.00388009,0.25046444
10,1.58113201,6.88207815,3.11023689,1276.334657,0.09905148,5.08828611
11,0.71694693,6.02091762,0.95201247,910.6380811,0.05859242,2.14603593
12,2.13103702,1.29806448,3.15357036,1205.529049,0.38881746,3.76073736
13,1.6540724,3.86498537,2.86262716,1027.121966,0.08370052,4.25152818
