features,SVM,GBRT,LR,CMI,XGBoost
1,0.614017672,1.288092965,0.860050098,0.07162924,0.05705331
2,1.375013983,3.631283869,2.397463581,0.116306728,0.138209
3,0.516523374,0.939800541,0.750084343,0.084730869,0.048265275
4,0.342510466,0.558131806,0.349278573,0.037088015,0.018703086
5,0.191883605,0.602191485,0.594868405,0.020084227,0.022247206
6,0.614331945,1.306237793,0.502491074,0.081227976,0.04409877
7,0.610146286,1.824630144,1.741403255,0.059844625,0.08168421
8,0.856643431,1.194126974,1.217069093,0.089051642,0.0599533
9,0.749676987,2.172299434,1.414736526,0.076714512,0.06965558
10,1.525385756,2.262440793,1.888522019,0.101314259,0.17538083
11,2.284482,3.41524348,3.319704009,0.168984977,0.2393271
