features,SVM,GBRT,LR,CMI,XGBoost
1,0.218786768,1.236384256,0.798224009,0.050392824,0.03641059
2,1.701873497,2.361380887,2.024469618,0.08717367,0.13779247
3,0.410950358,1.574039095,0.843595256,0.05283611,0.03649832
4,0.2026703,0.508457461,0.512099356,0.01964238,0.025100471
5,0.118557065,0.185146667,0.231795998,0.018925208,0.016068224
6,0.055386804,0.183435325,0.102738775,0.02407431,0.014325066
7,0.494373169,1.436931848,0.788334745,0.068201808,0.0664173
8,0.308749143,0.539911791,0.731170321,0.023376514,0.02294087
9,0.561904366,2.521592083,0.976347029,0.083091055,0.05571091
10,0.411963712,1.594845162,0.328207536,0.083452639,0.05910833
11,3.014275738,5.802812989,5.019647715,0.17995108,0.33984035
